cause_entity,effect_entity,relationship,document_reference,quantifications,modulator_uncertainty,modulator_temporal,tense,custom_id,speech_id,batch_id,speech_narrative_id
recent economic shocks,uncertainties around them,recent economic shocks create uncertainties,Catherine L Mann talks about the impact of recent economic shocks and the uncertainties around them.,NA,NA,NA,PRESENT,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_0
near-term inflationary pressures,becoming embedded in domestic expectations and realisations,near-term inflationary pressures embed in expectations and realisations,"As I see it, the key balance of uncertainties is between near-term inflationary pressures that are becoming embedded in domestic expectations and realisations on the one hand, and on the other what is projected to be a dramatic deterioration in the real purchasing power of peoples incomes in the near and medium term.",NA,NA,NA,PRESENT,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_1
projected dramatic deterioration in real purchasing power,deterioration in real purchasing power of people's incomes,deterioration in purchasing power affects incomes,"As I see it, the key balance of uncertainties is between near-term inflationary pressures that are becoming embedded in domestic expectations and realisations on the one hand, and on the other what is projected to be a dramatic deterioration in the real purchasing power of peoples incomes in the near and medium term.",NA,NA,near and medium term,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_2
monetary policy tools,short-circuit the inflationary expectations dynamic,monetary policy tools can short-circuit inflationary expectations,"The challenge is to deploy monetary policy tools to short-circuit the inflationary expectations dynamic now, so as to prevent inflation from remaining above target for longer, and by doing so to moderate the hit to purchasing power later on.",NA,NA,now,PRESENT,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_3
monetary policy tools,prevent inflation from remaining above target,monetary policy tools prevent inflation from remaining above target,"The challenge is to deploy monetary policy tools to short-circuit the inflationary expectations dynamic now, so as to prevent inflation from remaining above target for longer, and by doing so to moderate the hit to purchasing power later on.",NA,NA,for longer,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_4
monetary policy tools,moderate the hit to purchasing power,monetary policy tools moderate the hit to purchasing power,"The challenge is to deploy monetary policy tools to short-circuit the inflationary expectations dynamic now, so as to prevent inflation from remaining above target for longer, and by doing so to moderate the hit to purchasing power later on.",NA,NA,later on,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_5
current inflation,affecting future price inflation,current inflation influences future price inflation,"Uncertainties about price expectations and price realisations are particularly important, being influenced by current inflation and, in turn, affecting future price inflation.",NA,NA,future,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_6
price realisations,affect the evolution of real income and demand,price realisations influence real income and demand,"Relatedly, but its own source of uncertainty into the medium-term, is how price realisations affect the evolution of real income and demand, which in turn, will either ratify the price expectations, or not.",NA,NA,medium-term,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_7
monetary policy,influence inflation and output,monetary policy affects inflation and output through financial intermediaries,"Another uncertainty, particularly important for the medium term impact of policy, relates to the transmission mechanism from monetary policy (domestic and external) through financial intermediaries to influence inflation and output.",NA,NA,medium term,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_8
shocks,push inflation away from 2%,shocks cause inflation deviation from target,"However, the remit also recognises that shocks will push inflation away from 2%, and that appropriate monetary policy can temporarily tolerate such a deviation.",NA,NA,NA,FUTURE,speech_16649_batch_0,16649,batch_695a66a3679081909dffa72c9555fbdd,16649_9
