entity,topic,classification,document_reference,custom_id,speech_id,request_idx,speech_narrative_id,entity_type,entity_speech_narrative_id
monetary policy,interest rates,higher,,speech_16649_narr_16649_0_cause_0,16649,0,16649_0,cause,monetary policy|16649_0
inflationary expectations dynamic,inflation,higher,,speech_16649_narr_16649_0_effect_0,16649,0,16649_0,effect,inflationary expectations dynamic|16649_0
monetary policy,interest rates,higher,,speech_16649_narr_16649_1_cause_1,16649,1,16649_1,cause,monetary policy|16649_1
purchasing power,inflation,lower,,speech_16649_narr_16649_1_effect_1,16649,1,16649_1,effect,purchasing power|16649_1
current inflation,inflation,normal,,speech_16649_narr_16649_2_cause_2,16649,2,16649_2,cause,current inflation|16649_2
future price inflation,inflation,higher,,speech_16649_narr_16649_2_effect_2,16649,2,16649_2,effect,future price inflation|16649_2
price realisations,inflation,normal,,speech_16649_narr_16649_3_cause_3,16649,3,16649_3,cause,price realisations|16649_3
evolution of real income and demand,output,normal,,speech_16649_narr_16649_3_effect_3,16649,3,16649_3,effect,evolution of real income and demand|16649_3
monetary policy,interest rates,normal,,speech_16649_narr_16649_4_cause_4,16649,4,16649_4,cause,monetary policy|16649_4
inflation,inflation,normal,,speech_16649_narr_16649_4_effect_4,16649,4,16649_4,effect,inflation|16649_4
output,output,normal,,speech_16649_narr_16649_4_effect_4,16649,4,16649_4,effect,output|16649_4
shocks,inflation,higher,,speech_16649_narr_16649_5_cause_5,16649,5,16649_5,cause,shocks|16649_5
inflation,inflation,higher,,speech_16649_narr_16649_5_effect_5,16649,5,16649_5,effect,inflation|16649_5
monetary policy path,interest rates,normal,,speech_16649_narr_16649_6_cause_6,16649,6,16649_6,cause,monetary policy path|16649_6
economic activity,output,lower,,speech_16649_narr_16649_6_effect_6,16649,6,16649_6,effect,economic activity|16649_6
monetary policy,interest rates,normal,,speech_16649_narr_16649_7_cause_7,16649,7,16649_7,cause,monetary policy|16649_7
medium-term inflation and purchasing power,inflation,normal,,speech_16649_narr_16649_7_effect_7,16649,7,16649_7,effect,medium-term inflation and purchasing power|16649_7
monetary policy,interest rates,normal,,speech_16649_narr_16649_8_cause_8,16649,8,16649_8,cause,monetary policy|16649_8
change financial conditions,financial markets,normal,,speech_16649_narr_16649_8_effect_8,16649,8,16649_8,effect,change financial conditions|16649_8
financial conditions,financial markets,normal,,speech_16649_narr_16649_9_cause_9,16649,9,16649_9,cause,financial conditions|16649_9
aggregate demand,output,normal,,speech_16649_narr_16649_9_effect_9,16649,9,16649_9,effect,aggregate demand|16649_9
previous monetary accommodation,interest rates,normal,,speech_16649_narr_16649_10_cause_10,16649,10,16649_10,cause,previous monetary accommodation|16649_10
affecting transmission now,financial markets,normal,,speech_16649_narr_16649_10_effect_10,16649,10,16649_10,effect,affecting transmission now|16649_10
bolder monetary policy action,interest rates,higher,,speech_16649_narr_16649_11_cause_11,16649,11,16649_11,cause,bolder monetary policy action|16649_11
financial conditions,financial markets,higher,,speech_16649_narr_16649_11_effect_11,16649,11,16649_11,effect,financial conditions|16649_11
tightness in labour and product markets,labour market,higher,,speech_16649_narr_16649_12_cause_12,16649,12,16649_12,cause,tightness in labour and product markets|16649_12
downstream wage and price pressures,inflation,higher,,speech_16649_narr_16649_12_effect_12,16649,12,16649_12,effect,downstream wage and price pressures|16649_12
monetary policy,interest rates,normal,,speech_16649_narr_16649_13_cause_13,16649,13,16649_13,cause,monetary policy|16649_13
inputs to the long-run equilibrium,productivity,normal,,speech_16649_narr_16649_13_effect_13,16649,13,16649_13,effect,inputs to the long-run equilibrium|16649_13
expectations by workers and firms,inflation,higher,,speech_16649_narr_16649_14_cause_14,16649,14,16649_14,cause,expectations by workers and firms|16649_14
generate a domestically-driven wage-price dynamic,inflation,higher,,speech_16649_narr_16649_14_effect_14,16649,14,16649_14,effect,generate a domestically-driven wage-price dynamic|16649_14
2021 wage settlements and price hikes,inflation,higher,,speech_16649_narr_16649_15_cause_15,16649,15,16649_15,cause,2021 wage settlements and price hikes|16649_15
inflation remain well above target,inflation,higher,,speech_16649_narr_16649_15_effect_15,16649,15,16649_15,effect,inflation remain well above target|16649_15
increase in inflation expectations,inflation,higher,,speech_16649_narr_16649_16_cause_16,16649,16,16649_16,cause,increase in inflation expectations|16649_16
significant role in wage settlements,labour market,higher,,speech_16649_narr_16649_16_effect_16,16649,16,16649_16,effect,significant role in wage settlements|16649_16
firms pricing expectations,inflation,higher,,speech_16649_narr_16649_17_cause_17,16649,17,16649_17,cause,firms pricing expectations|16649_17
recover margins eroded from input price increases and higher energy prices,inflation,higher,,speech_16649_narr_16649_17_effect_17,16649,17,16649_17,effect,recover margins eroded from input price increases and higher energy prices|16649_17
erosion of international competition,trade,higher,,speech_16649_narr_16649_18_cause_18,16649,18,16649_18,cause,erosion of international competition|16649_18
strengthen ability to pass-on import prices,inflation,higher,,speech_16649_narr_16649_18_effect_18,16649,18,16649_18,effect,strengthen ability to pass-on import prices|16649_18
successive shocks to the price level,inflation,higher,,speech_16649_narr_16649_19_cause_19,16649,19,16649_19,cause,successive shocks to the price level|16649_19
transitory effect on inflation,inflation,normal,,speech_16649_narr_16649_19_effect_19,16649,19,16649_19,effect,transitory effect on inflation|16649_19
repeated shocks on the same side,inflation,higher,,speech_16649_narr_16649_20_cause_20,16649,20,16649_20,cause,repeated shocks on the same side|16649_20
increase in the prices of goods and services in the UK,inflation,higher,,speech_16649_narr_16649_20_effect_20,16649,20,16649_20,effect,increase in the prices of goods and services in the UK|16649_20
shocks,inflation,higher,,speech_16649_narr_16649_21_cause_21,16649,21,16649_21,cause,shocks|16649_21
price level ratchet up,inflation,higher,,speech_16649_narr_16649_21_effect_21,16649,21,16649_21,effect,price level ratchet up|16649_21
shocks,inflation,higher,,speech_16649_narr_16649_22_cause_22,16649,22,16649_22,cause,shocks|16649_22
increase in inflation to historic highs,inflation,higher,,speech_16649_narr_16649_22_effect_22,16649,22,16649_22,effect,increase in inflation to historic highs|16649_22
household inflation expectations,inflation,higher,,speech_16649_narr_16649_23_cause_23,16649,23,16649_23,cause,household inflation expectations|16649_23
goods inflation embedded into overall cost inflation,inflation,higher,,speech_16649_narr_16649_23_effect_23,16649,23,16649_23,effect,goods inflation embedded into overall cost inflation|16649_23
Monetary policy that looks through price changes,inflation,higher,,speech_16649_narr_16649_24_cause_24,16649,24,16649_24,cause,Monetary policy that looks through price changes|16649_24
sustaining aggregate inflation,inflation,higher,,speech_16649_narr_16649_24_effect_24,16649,24,16649_24,effect,sustaining aggregate inflation|16649_24
inflation ratchet,inflation,higher,,speech_16649_narr_16649_25_cause_25,16649,25,16649_25,cause,inflation ratchet|16649_25
higher overall inflation that persists,inflation,higher,,speech_16649_narr_16649_25_effect_25,16649,25,16649_25,effect,higher overall inflation that persists|16649_25
high inflation,inflation,higher,,speech_16649_narr_16649_26_cause_26,16649,26,16649_26,cause,high inflation|16649_26
seeped into stable components,inflation,higher,,speech_16649_narr_16649_26_effect_26,16649,26,16649_26,effect,seeped into stable components|16649_26
Ofgem price cap,inflation,higher,,speech_16649_narr_16649_27_cause_27,16649,27,16649_27,cause,Ofgem price cap|16649_27
prolongs the effect of the current increase in wholesale energy prices,inflation,higher,,speech_16649_narr_16649_27_effect_27,16649,27,16649_27,effect,prolongs the effect of the current increase in wholesale energy prices|16649_27
appreciation of Sterling,exchange rate,higher,,speech_16649_narr_16649_28_cause_28,16649,28,16649_28,cause,appreciation of Sterling|16649_28
higher yield curve,interest rates,higher,,speech_16649_narr_16649_28_cause_28,16649,28,16649_28,cause,higher yield curve|16649_28
tightened financial conditions,financial markets,higher,,speech_16649_narr_16649_28_effect_28,16649,28,16649_28,effect,tightened financial conditions|16649_28
continued accommodative financial conditions,financial markets,normal,,speech_16649_narr_16649_29_cause_29,16649,29,16649_29,cause,continued accommodative financial conditions|16649_29
tempered effect of policy tightening on aggregate demand,output,lower,,speech_16649_narr_16649_29_effect_29,16649,29,16649_29,effect,tempered effect of policy tightening on aggregate demand|16649_29
front-loaded policy path,interest rates,higher,,speech_16649_narr_16649_30_cause_30,16649,30,16649_30,cause,front-loaded policy path|16649_30
smaller deviations from the inflation target,inflation,lower,,speech_16649_narr_16649_30_effect_30,16649,30,16649_30,effect,smaller deviations from the inflation target|16649_30
front-loaded tightening path,interest rates,higher,,speech_16649_narr_16649_31_cause_31,16649,31,16649_31,cause,front-loaded tightening path|16649_31
strong signal of commitment to the inflation target,inflation,higher,,speech_16649_narr_16649_31_effect_31,16649,31,16649_31,effect,strong signal of commitment to the inflation target|16649_31
doubling of consumer-facing energy prices,inflation,higher,,speech_16649_narr_16649_32_cause_32,16649,32,16649_32,cause,doubling of consumer-facing energy prices|16649_32
reduction in real aggregate non-energy consumption,output,lower,,speech_16649_narr_16649_32_effect_32,16649,32,16649_32,effect,reduction in real aggregate non-energy consumption|16649_32
2% drop in real post-tax labour income,labour market,lower,,speech_16649_narr_16649_33_cause_33,16649,33,16649_33,cause,2% drop in real post-tax labour income|16649_33
reduction in demand,output,lower,,speech_16649_narr_16649_33_effect_33,16649,33,16649_33,effect,reduction in demand|16649_33
low price elasticity,other,normal,,speech_16649_narr_16649_34_cause_34,16649,34,16649_34,cause,low price elasticity|16649_34
reduction in consumption of non-energy goods and services,output,lower,,speech_16649_narr_16649_34_effect_34,16649,34,16649_34,effect,reduction in consumption of non-energy goods and services|16649_34
high marginal propensity to consume,other,higher,,speech_16649_narr_16649_35_cause_35,16649,35,16649_35,cause,high marginal propensity to consume|16649_35
reduction in consumption of non-energy goods and services,output,lower,,speech_16649_narr_16649_35_effect_35,16649,35,16649_35,effect,reduction in consumption of non-energy goods and services|16649_35
energy price shock,geopolitical shocks,higher,,speech_16649_narr_16649_36_cause_36,16649,36,16649_36,cause,energy price shock|16649_36
change in price realisations,inflation,normal,,speech_16649_narr_16649_36_effect_36,16649,36,16649_36,effect,change in price realisations|16649_36
energy price shock,geopolitical shocks,higher,,speech_16649_narr_16649_37_cause_37,16649,37,16649_37,cause,energy price shock|16649_37
moderation of aggregate CPI inflation,inflation,lower,,speech_16649_narr_16649_37_effect_37,16649,37,16649_37,effect,moderation of aggregate CPI inflation|16649_37
energy price shock,geopolitical shocks,higher,,speech_16649_narr_16649_38_cause_38,16649,38,16649_38,cause,energy price shock|16649_38
impact on aggregate demand,output,lower,,speech_16649_narr_16649_38_effect_38,16649,38,16649_38,effect,impact on aggregate demand|16649_38
monetary policy,interest rates,higher,,speech_16649_narr_16649_39_cause_39,16649,39,16649_39,cause,monetary policy|16649_39
anchoring of inflation expectations,inflation,normal,,speech_16649_narr_16649_39_effect_39,16649,39,16649_39,effect,anchoring of inflation expectations|16649_39
uncertainty about the degree of intrinsic inflation persistence,inflation,higher,,speech_16649_narr_16649_40_cause_40,16649,40,16649_40,cause,uncertainty about the degree of intrinsic inflation persistence|16649_40
inflation,inflation,higher,,speech_16649_narr_16649_40_effect_40,16649,40,16649_40,effect,inflation|16649_40
inflation not eliminated today,inflation,higher,,speech_16649_narr_16649_41_cause_41,16649,41,16649_41,cause,inflation not eliminated today|16649_41
future inflation,inflation,higher,,speech_16649_narr_16649_41_effect_41,16649,41,16649_41,effect,future inflation|16649_41
long periods of loose policy,interest rates,lower,,speech_16649_narr_16649_42_cause_42,16649,42,16649_42,cause,long periods of loose policy|16649_42
high debt levels,credit,higher,,speech_16649_narr_16649_42_effect_42,16649,42,16649_42,effect,high debt levels|16649_42
high debt levels,credit,higher,,speech_16649_narr_16649_43_cause_43,16649,43,16649_43,cause,high debt levels|16649_43
depress the long-run neutral rate,interest rates,lower,,speech_16649_narr_16649_43_effect_43,16649,43,16649_43,effect,depress the long-run neutral rate|16649_43
changes in interest rates in the US,interest rates,normal,,speech_16650_narr_16650_0_cause_44,16650,44,16650_0,cause,changes in interest rates in the US|16650_0
UK economy,output,normal,,speech_16650_narr_16650_0_effect_44,16650,44,16650_0,effect,UK economy|16650_0
global shocks,geopolitical shocks,higher,,speech_16650_narr_16650_1_cause_45,16650,45,16650_1,cause,global shocks|16650_1
prices rise at historic rates,inflation,higher,,speech_16650_narr_16650_1_effect_45,16650,45,16650_1,effect,prices rise at historic rates|16650_1
global shocks,geopolitical shocks,higher,,speech_16650_narr_16650_2_cause_46,16650,46,16650_2,cause,global shocks|16650_2
domestic inflation,inflation,higher,,speech_16650_narr_16650_2_effect_46,16650,46,16650_2,effect,domestic inflation|16650_2
US monetary policy tightening,interest rates,higher,,speech_16650_narr_16650_3_cause_47,16650,47,16650_3,cause,US monetary policy tightening|16650_3
slowdown in activity,output,lower,,speech_16650_narr_16650_3_effect_47,16650,47,16650_3,effect,slowdown in activity|16650_3
disinflation,inflation,lower,,speech_16650_narr_16650_3_effect_47,16650,47,16650_3,effect,disinflation|16650_3
US monetary policy tightening,interest rates,higher,,speech_16650_narr_16650_4_cause_48,16650,48,16650_4,cause,US monetary policy tightening|16650_4
appreciation of the Dollar,exchange rate,higher,,speech_16650_narr_16650_4_effect_48,16650,48,16650_4,effect,appreciation of the Dollar|16650_4
US monetary policy tightening,interest rates,higher,,speech_16650_narr_16650_5_cause_49,16650,49,16650_5,cause,US monetary policy tightening|16650_5
capital outflows,financial markets,higher,,speech_16650_narr_16650_5_effect_49,16650,49,16650_5,effect,capital outflows|16650_5
depreciating foreign currency,exchange rate,lower,,speech_16650_narr_16650_5_effect_49,16650,49,16650_5,effect,depreciating foreign currency|16650_5
imported goods becoming more expensive in terms of foreign currency,exchange rate,higher,,speech_16650_narr_16650_6_cause_50,16650,50,16650_6,cause,imported goods becoming more expensive in terms of foreign currency|16650_6
inflationary effect in the non-US economy,inflation,higher,,speech_16650_narr_16650_6_effect_50,16650,50,16650_6,effect,inflationary effect in the non-US economy|16650_6
depreciation making exports more attractive,exchange rate,higher,,speech_16650_narr_16650_7_cause_51,16650,51,16650_7,cause,depreciation making exports more attractive|16650_7
boost to exports,trade,higher,,speech_16650_narr_16650_7_effect_51,16650,51,16650_7,effect,boost to exports|16650_7
US tightening,interest rates,higher,,speech_16650_narr_16650_8_cause_52,16650,52,16650_8,cause,US tightening|16650_8
inflationary pressures in emerging market economies,inflation,higher,,speech_16650_narr_16650_8_effect_52,16650,52,16650_8,effect,inflationary pressures in emerging market economies|16650_8
US monetary tightening,interest rates,higher,,speech_16650_narr_16650_9_cause_53,16650,53,16650_9,cause,US monetary tightening|16650_9
decrease in real economic activity,output,lower,,speech_16650_narr_16650_9_effect_53,16650,53,16650_9,effect,decrease in real economic activity|16650_9
US monetary tightening,interest rates,higher,,speech_16650_narr_16650_10_cause_54,16650,54,16650_10,cause,US monetary tightening|16650_10
decrease in price level,inflation,lower,,speech_16650_narr_16650_10_effect_54,16650,54,16650_10,effect,decrease in price level|16650_10
US tightening,interest rates,higher,,speech_16650_narr_16650_11_cause_55,16650,55,16650_11,cause,US tightening|16650_11
inflationary effect in the UK,inflation,higher,,speech_16650_narr_16650_11_effect_55,16650,55,16650_11,effect,inflationary effect in the UK|16650_11
US tightening,interest rates,higher,,speech_16650_narr_16650_12_cause_56,16650,56,16650_12,cause,US tightening|16650_12
Sterling depreciation,exchange rate,higher,,speech_16650_narr_16650_12_effect_56,16650,56,16650_12,effect,Sterling depreciation|16650_12
US monetary policy shock,interest rates,higher,,speech_16650_narr_16650_13_cause_57,16650,57,16650_13,cause,US monetary policy shock|16650_13
