,json,education,Date_of_birth,Bachelor_institution,Bachelor_year,PhD_institution,PhD_year,PhD_thesis_director,highest_level_of_study,Sources,has_PHD,date_cleaned,Date_filled
Alan Greenspan,"{  ""Date_of_birth"": ""March 6, 1926"",  ""Bachelor_institution"": ""New York University"",  ""Bachelor_year"": ""1948"",  ""PhD_institution"": ""New York University"",  ""PhD_year"": ""1977"",  ""PhD_thesis_director"": ""Arthur Burns"",  ""highest_level_of_study"": ""PhD in Economics"",  ""Sources"": {    ""Date_of_birth"": ""https://www.britannica.com/money/Alan-Greenspan"",    ""Bachelor_institution"": ""https://www.federalreservehistory.org/people/alan-greenspan"",    ""Bachelor_year"": ""https://www.federalreservehistory.org/people/alan-greenspan"",    ""PhD_institution"": ""https://www.federalreservehistory.org/people/alan-greenspan"",    ""PhD_year"": ""https://www.federalreservehistory.org/people/alan-greenspan"",    ""PhD_thesis_director"": ""https://en.wikipedia.org/wiki/Alan_Greenspan"",    ""highest_level_of_study"": ""https://www.federalreservehistory.org/people/alan-greenspan""  }} ","{'Date_of_birth': 'March 6, 1926', 'Bachelor_institution': 'New York University', 'Bachelor_year': '1948', 'PhD_institution': 'New York University', 'PhD_year': '1977', 'PhD_thesis_director': 'Arthur Burns', 'highest_level_of_study': 'PhD in Economics', 'Sources': {'Date_of_birth': 'https://www.britannica.com/money/Alan-Greenspan', 'Bachelor_institution': 'https://www.federalreservehistory.org/people/alan-greenspan', 'Bachelor_year': 'https://www.federalreservehistory.org/people/alan-greenspan', 'PhD_institution': 'https://www.federalreservehistory.org/people/alan-greenspan', 'PhD_year': 'https://www.federalreservehistory.org/people/alan-greenspan', 'PhD_thesis_director': 'https://en.wikipedia.org/wiki/Alan_Greenspan', 'highest_level_of_study': 'https://www.federalreservehistory.org/people/alan-greenspan'}}","March 6, 1926",New York University,1948,New York University,1977,Arthur Burns,PhD in Economics,"{'Date_of_birth': 'https://www.britannica.com/money/Alan-Greenspan', 'Bachelor_institution': 'https://www.federalreservehistory.org/people/alan-greenspan', 'Bachelor_year': 'https://www.federalreservehistory.org/people/alan-greenspan', 'PhD_institution': 'https://www.federalreservehistory.org/people/alan-greenspan', 'PhD_year': 'https://www.federalreservehistory.org/people/alan-greenspan', 'PhD_thesis_director': 'https://en.wikipedia.org/wiki/Alan_Greenspan', 'highest_level_of_study': 'https://www.federalreservehistory.org/people/alan-greenspan'}",True,1926-03-06,1926-03-06 00:00:00
Jean-Claude Trichet,"{  ""Date_of_birth"": ""1942-12-20"",  ""Bachelor_institution"": ""École nationale supérieure des mines de Nancy"",  ""Bachelor_year"": ""1964"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""École nationale d'administration"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Jean-Claude_Trichet"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Jean-Claude_Trichet"",    ""Bachelor_year"": ""https://en.wikipedia.org/wiki/Jean-Claude_Trichet"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Jean-Claude_Trichet""  }} ","{'Date_of_birth': '1942-12-20', 'Bachelor_institution': 'École nationale supérieure des mines de Nancy', 'Bachelor_year': '1964', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""École nationale d'administration"", 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Jean-Claude_Trichet', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Jean-Claude_Trichet', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Jean-Claude_Trichet', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Jean-Claude_Trichet'}}",1942-12-20,École nationale supérieure des mines de Nancy,1964,,,,École nationale d'administration,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Jean-Claude_Trichet', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Jean-Claude_Trichet', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Jean-Claude_Trichet', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Jean-Claude_Trichet'}",False,1942-12-20,1942-12-20 00:00:00
Amando M Tetangco,"{  ""Date_of_birth"": ""1952-11-14"",  ""Bachelor_institution"": ""Ateneo de Manila University"",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master's in Public Policy and Administration (Development Economics)"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Amando_Tetangco_Jr."",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Amando_Tetangco_Jr."",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Amando_Tetangco_Jr.""  }} ","{'Date_of_birth': '1952-11-14', 'Bachelor_institution': 'Ateneo de Manila University', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Master's in Public Policy and Administration (Development Economics)"", 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Amando_Tetangco_Jr.', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Amando_Tetangco_Jr.', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Amando_Tetangco_Jr.'}}",1952-11-14,Ateneo de Manila University,,,,,Master's in Public Policy and Administration (Development Economics),"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Amando_Tetangco_Jr.', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Amando_Tetangco_Jr.', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Amando_Tetangco_Jr.'}",False,1952-11-14,1952-11-14 00:00:00
Gent Sejko,"{  ""Date_of_birth"": """",  ""Bachelor_institution"": ""University of Tirana"",  ""Bachelor_year"": ""1991"",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Master's degree"",  ""Sources"": {    ""Date_of_birth"": """",    ""Bachelor_institution"": ""https://www.bankofalbania.org/About_the_Bank/Organizational_Structure/BoA_Supervisory_Council/Mr_Gent_Sejko_Governor_of_the_Bank_of_Albania.html"",    ""Bachelor_year"": ""https://www.bankofalbania.org/About_the_Bank/Organizational_Structure/BoA_Supervisory_Council/Mr_Gent_Sejko_Governor_of_the_Bank_of_Albania.html"",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.bankofalbania.org/About_the_Bank/Organizational_Structure/BoA_Supervisory_Council/Mr_Gent_Sejko_Governor_of_the_Bank_of_Albania.html""  }} ","{'Date_of_birth': '', 'Bachelor_institution': 'University of Tirana', 'Bachelor_year': '1991', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': ""Master's degree"", 'Sources': {'Date_of_birth': '', 'Bachelor_institution': 'https://www.bankofalbania.org/About_the_Bank/Organizational_Structure/BoA_Supervisory_Council/Mr_Gent_Sejko_Governor_of_the_Bank_of_Albania.html', 'Bachelor_year': 'https://www.bankofalbania.org/About_the_Bank/Organizational_Structure/BoA_Supervisory_Council/Mr_Gent_Sejko_Governor_of_the_Bank_of_Albania.html', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.bankofalbania.org/About_the_Bank/Organizational_Structure/BoA_Supervisory_Council/Mr_Gent_Sejko_Governor_of_the_Bank_of_Albania.html'}}",,University of Tirana,1991,,,,Master's degree,"{'Date_of_birth': '', 'Bachelor_institution': 'https://www.bankofalbania.org/About_the_Bank/Organizational_Structure/BoA_Supervisory_Council/Mr_Gent_Sejko_Governor_of_the_Bank_of_Albania.html', 'Bachelor_year': 'https://www.bankofalbania.org/About_the_Bank/Organizational_Structure/BoA_Supervisory_Council/Mr_Gent_Sejko_Governor_of_the_Bank_of_Albania.html', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.bankofalbania.org/About_the_Bank/Organizational_Structure/BoA_Supervisory_Council/Mr_Gent_Sejko_Governor_of_the_Bank_of_Albania.html'}",False,,
Ignazio Visco,"{  ""Date_of_birth"": ""1949-11-21"",  ""Bachelor_institution"": ""Sapienza University of Rome"",  ""Bachelor_year"": ""1971"",  ""PhD_institution"": ""University of Pennsylvania"",  ""PhD_year"": ""1981"",  ""PhD_thesis_director"": ""Albert Ando, Lawrence R. Klein, and Roberto S. Mariano"",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Ignazio_Visco"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Ignazio_Visco"",    ""Bachelor_year"": ""https://en.wikipedia.org/wiki/Ignazio_Visco"",    ""PhD_institution"": ""https://en.wikipedia.org/wiki/Ignazio_Visco"",    ""PhD_year"": ""https://en.wikipedia.org/wiki/Ignazio_Visco"",    ""PhD_thesis_director"": ""https://www.corrierece.it/notizie-cronaca/2011/10/20/banca-ditalia.html"",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Ignazio_Visco""  }} ","{'Date_of_birth': '1949-11-21', 'Bachelor_institution': 'Sapienza University of Rome', 'Bachelor_year': '1971', 'PhD_institution': 'University of Pennsylvania', 'PhD_year': '1981', 'PhD_thesis_director': 'Albert Ando, Lawrence R. Klein, and Roberto S. Mariano', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Ignazio_Visco', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Ignazio_Visco', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Ignazio_Visco', 'PhD_institution': 'https://en.wikipedia.org/wiki/Ignazio_Visco', 'PhD_year': 'https://en.wikipedia.org/wiki/Ignazio_Visco', 'PhD_thesis_director': 'https://www.corrierece.it/notizie-cronaca/2011/10/20/banca-ditalia.html', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Ignazio_Visco'}}",1949-11-21,Sapienza University of Rome,1971,University of Pennsylvania,1981,"Albert Ando, Lawrence R. Klein, and Roberto S. Mariano",PhD,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Ignazio_Visco', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Ignazio_Visco', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Ignazio_Visco', 'PhD_institution': 'https://en.wikipedia.org/wiki/Ignazio_Visco', 'PhD_year': 'https://en.wikipedia.org/wiki/Ignazio_Visco', 'PhD_thesis_director': 'https://www.corrierece.it/notizie-cronaca/2011/10/20/banca-ditalia.html', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Ignazio_Visco'}",True,1949-11-21,1949-11-21 00:00:00
Robert P Forrestal,"{  ""Date_of_birth"": ""October 31, 1931"",  ""Bachelor_institution"": ""St. John's University"",  ""Bachelor_year"": """",  ""PhD_institution"": """",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""Law degree from Georgetown University Law Center"",  ""Sources"": {    ""Date_of_birth"": ""https://www.federalreservehistory.org/people/robert-p-forrestal"",    ""Bachelor_institution"": ""https://www.federalreservehistory.org/people/robert-p-forrestal"",    ""Bachelor_year"": """",    ""PhD_institution"": """",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.federalreservehistory.org/people/robert-p-forrestal""  }} ","{'Date_of_birth': 'October 31, 1931', 'Bachelor_institution': ""St. John's University"", 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'Law degree from Georgetown University Law Center', 'Sources': {'Date_of_birth': 'https://www.federalreservehistory.org/people/robert-p-forrestal', 'Bachelor_institution': 'https://www.federalreservehistory.org/people/robert-p-forrestal', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.federalreservehistory.org/people/robert-p-forrestal'}}","October 31, 1931",St. John's University,,,,,Law degree from Georgetown University Law Center,"{'Date_of_birth': 'https://www.federalreservehistory.org/people/robert-p-forrestal', 'Bachelor_institution': 'https://www.federalreservehistory.org/people/robert-p-forrestal', 'Bachelor_year': '', 'PhD_institution': '', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.federalreservehistory.org/people/robert-p-forrestal'}",False,1931-10-31,1931-10-31 00:00:00
Ben S Bernanke,"{  ""Date_of_birth"": ""1953-12-13"",  ""Bachelor_institution"": ""Harvard University"",  ""Bachelor_year"": ""1975"",  ""PhD_institution"": ""Massachusetts Institute of Technology"",  ""PhD_year"": ""1979"",  ""PhD_thesis_director"": ""Stanley Fischer"",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://www.federalreservehistory.org/people/ben-s-bernanke"",    ""Bachelor_institution"": ""https://www.federalreservehistory.org/people/ben-s-bernanke"",    ""Bachelor_year"": ""https://www.federalreservehistory.org/people/ben-s-bernanke"",    ""PhD_institution"": ""https://www.federalreservehistory.org/people/ben-s-bernanke"",    ""PhD_year"": ""https://www.federalreservehistory.org/people/ben-s-bernanke"",    ""PhD_thesis_director"": ""https://www.nobelprize.org/prizes/economic-sciences/2022/bernanke/biographical/"",    ""highest_level_of_study"": ""https://www.federalreservehistory.org/people/ben-s-bernanke""  }} ","{'Date_of_birth': '1953-12-13', 'Bachelor_institution': 'Harvard University', 'Bachelor_year': '1975', 'PhD_institution': 'Massachusetts Institute of Technology', 'PhD_year': '1979', 'PhD_thesis_director': 'Stanley Fischer', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://www.federalreservehistory.org/people/ben-s-bernanke', 'Bachelor_institution': 'https://www.federalreservehistory.org/people/ben-s-bernanke', 'Bachelor_year': 'https://www.federalreservehistory.org/people/ben-s-bernanke', 'PhD_institution': 'https://www.federalreservehistory.org/people/ben-s-bernanke', 'PhD_year': 'https://www.federalreservehistory.org/people/ben-s-bernanke', 'PhD_thesis_director': 'https://www.nobelprize.org/prizes/economic-sciences/2022/bernanke/biographical/', 'highest_level_of_study': 'https://www.federalreservehistory.org/people/ben-s-bernanke'}}",1953-12-13,Harvard University,1975,Massachusetts Institute of Technology,1979,Stanley Fischer,PhD,"{'Date_of_birth': 'https://www.federalreservehistory.org/people/ben-s-bernanke', 'Bachelor_institution': 'https://www.federalreservehistory.org/people/ben-s-bernanke', 'Bachelor_year': 'https://www.federalreservehistory.org/people/ben-s-bernanke', 'PhD_institution': 'https://www.federalreservehistory.org/people/ben-s-bernanke', 'PhD_year': 'https://www.federalreservehistory.org/people/ben-s-bernanke', 'PhD_thesis_director': 'https://www.nobelprize.org/prizes/economic-sciences/2022/bernanke/biographical/', 'highest_level_of_study': 'https://www.federalreservehistory.org/people/ben-s-bernanke'}",True,1953-12-13,1953-12-13 00:00:00
Andreas Dombret,"{  ""Date_of_birth"": ""1960-01-16"",  ""Bachelor_institution"": ""Westfälische Wilhelms University Münster"",  ""Bachelor_year"": """",  ""PhD_institution"": ""Friedrich-Alexander University Erlangen-Nürnberg"",  ""PhD_year"": """",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Andreas_Dombret"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Andreas_Dombret"",    ""Bachelor_year"": """",    ""PhD_institution"": ""https://en.wikipedia.org/wiki/Andreas_Dombret"",    ""PhD_year"": """",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Andreas_Dombret""  }} ","{'Date_of_birth': '1960-01-16', 'Bachelor_institution': 'Westfälische Wilhelms University Münster', 'Bachelor_year': '', 'PhD_institution': 'Friedrich-Alexander University Erlangen-Nürnberg', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Andreas_Dombret', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Andreas_Dombret', 'Bachelor_year': '', 'PhD_institution': 'https://en.wikipedia.org/wiki/Andreas_Dombret', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Andreas_Dombret'}}",1960-01-16,Westfälische Wilhelms University Münster,,Friedrich-Alexander University Erlangen-Nürnberg,,,PhD,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Andreas_Dombret', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Andreas_Dombret', 'Bachelor_year': '', 'PhD_institution': 'https://en.wikipedia.org/wiki/Andreas_Dombret', 'PhD_year': '', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Andreas_Dombret'}",True,1960-01-16,1960-01-16 00:00:00
Zeti Akhtar Aziz,"{  ""Date_of_birth"": ""1947-08-27"",  ""Bachelor_institution"": ""University of Malaya"",  ""Bachelor_year"": ""1970"",  ""PhD_institution"": ""University of Pennsylvania"",  ""PhD_year"": ""1978"",  ""PhD_thesis_director"": None,  ""highest_level_of_study"": ""PhD"",  ""Sources"": {    ""Date_of_birth"": ""https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz"",    ""Bachelor_institution"": ""https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz"",    ""Bachelor_year"": ""https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz"",    ""PhD_institution"": ""https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz"",    ""PhD_year"": ""https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz"",    ""PhD_thesis_director"": None,    ""highest_level_of_study"": ""https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz""  }} ","{'Date_of_birth': '1947-08-27', 'Bachelor_institution': 'University of Malaya', 'Bachelor_year': '1970', 'PhD_institution': 'University of Pennsylvania', 'PhD_year': '1978', 'PhD_thesis_director': None, 'highest_level_of_study': 'PhD', 'Sources': {'Date_of_birth': 'https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz', 'PhD_institution': 'https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz', 'PhD_year': 'https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz', 'PhD_thesis_director': None, 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz'}}",1947-08-27,University of Malaya,1970,University of Pennsylvania,1978,,PhD,"{'Date_of_birth': 'https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz', 'Bachelor_institution': 'https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz', 'Bachelor_year': 'https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz', 'PhD_institution': 'https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz', 'PhD_year': 'https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz', 'PhD_thesis_director': None, 'highest_level_of_study': 'https://en.wikipedia.org/wiki/Zeti_Akhtar_Aziz'}",True,1947-08-27,1947-08-27 00:00:00
Benjamin E Diokno,"{  ""Date_of_birth"": ""1948-03-31"",  ""Bachelor_institution"": ""University of the Philippines Diliman"",  ""Bachelor_year"": ""1968"",  ""PhD_institution"": ""Maxwell School of Citizenship and Public Affairs, Syracuse University"",  ""PhD_year"": ""1981"",  ""PhD_thesis_director"": """",  ""highest_level_of_study"": ""PhD in Economics"",  ""Sources"": {    ""Date_of_birth"": ""https://www.rappler.com/people/n00232609-benjamin-diokno/"",    ""Bachelor_institution"": ""https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno"",    ""Bachelor_year"": ""https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno"",    ""PhD_institution"": ""https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno"",    ""PhD_year"": ""https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno"",    ""PhD_thesis_director"": """",    ""highest_level_of_study"": ""https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno""  }} ","{'Date_of_birth': '1948-03-31', 'Bachelor_institution': 'University of the Philippines Diliman', 'Bachelor_year': '1968', 'PhD_institution': 'Maxwell School of Citizenship and Public Affairs, Syracuse University', 'PhD_year': '1981', 'PhD_thesis_director': '', 'highest_level_of_study': 'PhD in Economics', 'Sources': {'Date_of_birth': 'https://www.rappler.com/people/n00232609-benjamin-diokno/', 'Bachelor_institution': 'https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno', 'Bachelor_year': 'https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno', 'PhD_institution': 'https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno', 'PhD_year': 'https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno'}}",1948-03-31,University of the Philippines Diliman,1968,"Maxwell School of Citizenship and Public Affairs, Syracuse University",1981,,PhD in Economics,"{'Date_of_birth': 'https://www.rappler.com/people/n00232609-benjamin-diokno/', 'Bachelor_institution': 'https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno', 'Bachelor_year': 'https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno', 'PhD_institution': 'https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno', 'PhD_year': 'https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno', 'PhD_thesis_director': '', 'highest_level_of_study': 'https://www.ps-philgeps.gov.ph/home/index.php/secretary-benjamin-e-diokno'}",True,1948-03-31,1948-03-31 00:00:00
