CentralBank,Total Speeches,Mean Char Count,Median Char Count,Min Char Count,Max Char Count,SD Char Count,Min Year,Max Year
Austrian National Bank,101,2843.039603960396,2476.0,496.0,10193.0,1451.7498470521157,1998,2023
Banco Central de Nicaragua,94,1541.6489361702127,991.5,188.0,6221.0,1458.3628448561492,2015,2023
Banco Central de Reserva De El Salvador,3,908.6666666666666,965.0,733.0,1028.0,155.3587246772235,2007,2019
Banco Central de Venezuela,1,753.0,753.0,753.0,753.0,,1998,1998
Banco Central del Paraguay,13,1241.3846153846155,1132.0,574.0,2410.0,549.5488359344628,2013,2021
Bangladesh Bank,254,995.9212598425197,863.0,328.0,6158.0,608.9139311870467,2010,2016
Bank Al-Maghrib,63,1698.3809523809523,1344.0,399.0,12453.0,1551.5058806513923,2003,2023
Bank Indonesia,191,2934.937172774869,1856.0,596.0,42936.0,4424.574417385172,1999,2022
Bank of Albania,630,1363.468253968254,1135.5,96.0,8693.0,984.2214138690589,1999,2023
Bank of Algeria,52,1833.9423076923076,1256.5,318.0,8415.0,1711.7860917933979,2008,2023
Bank of Botswana,80,2185.725,2129.5,511.0,4285.0,943.182841650976,2000,2023
Bank of Cabo Verde,71,1338.112676056338,1248.0,408.0,5141.0,724.8107841616473,2004,2022
Bank of Canada,640,2473.190625,2627.0,270.0,11888.0,1520.3812926464673,1995,2023
Bank of England,1354,4600.901772525849,3956.5,254.0,26285.0,2889.587061332938,1996,2023
Bank of Estonia,47,2125.68085106383,1795.0,488.0,6479.0,1238.5559457337015,1998,2023
Bank of Finland,597,2370.536013400335,2203.0,342.0,7545.0,1319.505678539317,1997,2023
Bank of France,546,2141.4249084249086,1959.5,142.0,7826.0,1078.2885057767974,1997,2023
Bank of Ghana,164,1638.9878048780488,1373.0,311.0,6556.0,1099.0670108455147,2005,2023
Bank of Greece,223,2782.919282511211,2623.0,220.0,10310.0,1511.6568181295916,1999,2023
Bank of Guatemala,1,2003.0,2003.0,2003.0,2003.0,,2012,2012
Bank of Guyana,3,933.0,1140.0,388.0,1271.0,476.5070828434767,2012,2020
Bank of Israel,161,1755.0931677018634,1520.0,219.0,10115.0,1392.6153399325774,2000,2023
Bank of Italy,1035,3735.848309178744,3285.0,331.0,18829.0,2325.3319222283885,1997,2023
Bank of Jamaica,131,1434.7786259541986,1310.0,242.0,3761.0,584.0641599381453,1999,2023
Bank of Japan,827,4067.9903264812574,4244.0,223.0,14166.0,2160.476010773239,1996,2023
Bank of Korea,190,2048.9052631578948,1745.0,357.0,14284.0,1522.0273348099438,1998,2023
Bank of Latvia,19,1620.1052631578948,1349.0,314.0,3079.0,985.6927002951805,1999,2023
Bank of Lithuania,97,1631.7835051546392,1434.0,284.0,5726.0,974.5210706932334,2013,2023
Bank of Mauritius,243,2302.19341563786,1878.0,271.0,17301.0,1646.8316536591278,2002,2023
Bank of Mexico,325,2001.0553846153846,1888.0,326.0,7860.0,1040.5959489743568,2003,2023
Bank of Mozambique,78,1546.0,1195.5,349.0,5440.0,1105.593382429873,2006,2021
Bank of Namibia,88,1703.6363636363637,1506.5,595.0,6167.0,1015.4098111794559,1999,2023
Bank of Papua New Guinea,82,1660.7439024390244,1631.5,444.0,3644.0,678.036395304428,2003,2023
Bank of Portugal,460,2117.7478260869566,1773.0,204.0,20517.0,1658.5059533423303,2000,2023
Bank of Russia,164,3973.512195121951,2892.5,611.0,12377.0,2560.159802546375,2007,2023
Bank of Sierra Leone,25,2330.68,1382.0,580.0,5990.0,1728.445947472276,2002,2021
Bank of Slovenia,55,1295.0363636363636,1120.0,178.0,4277.0,793.8237971208855,2006,2023
Bank of Spain,612,3286.906862745098,2954.5,265.0,17898.0,2103.9821731099837,2000,2023
Bank of Tanzania,1,1807.0,1807.0,1807.0,1807.0,,2013,2013
Bank of Thailand,492,2166.0650406504064,2036.0,218.0,6584.0,1086.1811237740103,1998,2023
Bank of Uganda,365,1203.227397260274,980.0,204.0,4727.0,737.4949434097974,2004,2023
Bank of Zambia,196,1354.265306122449,1110.0,332.0,6231.0,852.0180875776012,2003,2023
Bank of the Republic of Burundi,2,903.0,903.0,697.0,1109.0,291.3279938488576,2021,2023
"Bank of the Republic, Colombia",46,2303.217391304348,2310.0,818.0,4354.0,872.2388539600194,2004,2023
Banque Centrale de Mauritanie,1,1117.0,1117.0,1117.0,1117.0,,2019,2019
Banque Centrale des Comores,7,1153.857142857143,1096.0,538.0,1924.0,537.0410997839392,2011,2023
Banque de la Rpublique d'Hati,29,1516.8275862068965,1283.0,327.0,4077.0,1008.545277295313,2015,2023
